tweets,len,ID,Date,Source,Likes,RTs,location,UserName,Name
@noon حلو,9,1237056817714401280,2020-03-09 16:45:03,Twitter for Android,0,0,"مكة المكرمة, المملكة العربية ا",almrkazameen991,Ameen althrhain
"RT @noon: بالبسمة 🎶

توصلك 💛

البهجة 😁

#طلباتك_أوامر 
#هلا_نون https://t.co/H49FTSoVJj",87,1237056779881713665,2020-03-09 16:44:54,Twitter for Android,0,39,"مكة المكرمة, المملكة العربية ا",almrkazameen991,Ameen althrhain
See Whats Happening Around Town &amp; Worldwide @Noon W/ @SylviaFOX32 &amp; @KaitlinCody With All The Lastest On Your #1 Ne… https://t.co/i22G7k6xtq,148,1237055940840640512,2020-03-09 16:41:34,Twitter for iPhone,0,0,Land of Lincoln,DeeMillChi,DeeMill
"@noon إستخدم كود خصم 🔥 CD323 🔥 

💰 - خصم يصل الى 10٪ 
✅ - يشمل كافة المنتجات

للطلب 👇🏻
https://t.co/SR65Q4oMe9",110,1237055053837582338,2020-03-09 16:38:02,Twitter for iPhone,0,0,,jobssa24,عروض وتخفيضات
@noon هل تضمنون عطوركم انها اصليه؟,34,1237053302229123075,2020-03-09 16:31:05,Twitter for iPhone,0,0,,najdalmu,none
@noon عندي رصيد في محفظة نون ابي ارجعها لبطاقتي كيف ؟,53,1237052791610388483,2020-03-09 16:29:03,Twitter for Android,0,0,"الرياض, المملكة العربية السعود",iika_desi,"كاديس 🖐🔥"""
@alwayscravepiza @noon حسابك خاص طيب😭,37,1237042545118441472,2020-03-09 15:48:20,Twitter for iPhone,0,0,𝐿𝑒𝑜,bblvck03,𝐌𝐫𝐬. 𝐁𝐥𝐚𝐜𝐤
@noon كود خصم نون HAOL,22,1237041055851319296,2020-03-09 15:42:25,Twitter for iPhone,0,0,,Gg29206704,Gg
@noon ممكن تشوفو الخاص,22,1237039349776240641,2020-03-09 15:35:38,Twitter for iPhone,1,0,جدة,fofa_bnt_habib,afifah
"تخيلوا لو يصير مستر كاندي ع الملابس او الاكواب والادوات 😍😍✨👏🏼 وش رايكم🤔؟
لازم نجرب💪🏼
#mrcandystory @NAMSHI_KSA… https://t.co/dxDj0Rjh66",135,1237037320240594946,2020-03-09 15:27:34,Twitter for Android,0,0,. ,candystoryart,Designer.
@noon كيف افعل بطاقة هديه الراجحي,33,1237033937995730950,2020-03-09 15:14:08,Twitter for Android,0,0,,k4e2w6SSnyKYdb6,الوافي
@atof7112 @noon كوبون خصم نون 😍NO57,35,1237026811713859585,2020-03-09 14:45:49,Twitter for iPhone,0,0,,Dode69385247,Dode_ads
@noon كوبون خصم نون 😍NO57,25,1237026664128937984,2020-03-09 14:45:14,Twitter for iPhone,0,0,,Dode69385247,Dode_ads
@noon @SaudiMCI  شوف الاستغلال يا وزارة التجاره,47,1237022420453728256,2020-03-09 14:28:22,Twitter for iPhone,0,0,,fuadzamareeh,Fuad
@noon https://t.co/frPlvVM5tE,29,1237022055683555329,2020-03-09 14:26:55,Twitter for iPhone,0,0,,fuadzamareeh,Fuad
"RT @noon: يا حابس النور بكفوفك🎶
أنوار ولمبات بخصم 10-75% من أحلى الأنواع والأشكال 💡💛

نوّنها على: https://t.co/oLMXnLaDWO

#هلا_نون https:/…",140,1237022002411638785,2020-03-09 14:26:42,Twitter Web App,0,1,"~ "" مكتبات و معلومات ""( مكه )",gnan1998,آبوفهدالدهاسي
"RT @noon: بالبسمة 🎶

توصلك 💛

البهجة 😁

#طلباتك_أوامر 
#هلا_نون https://t.co/H49FTSoVJj",87,1237009508955754497,2020-03-09 13:37:04,Twitter for iPhone,0,39,,l5u_uhb,سعود بن عبدالله بن محمد
@noon كوبون خصم ZLUH 💛,22,1237005549692166146,2020-03-09 13:21:20,Twitter Web App,0,0,#Egypt,OnlineDealsEg,Online Deals
@noon الرجاء الرد على الخاص,27,1237005418976751617,2020-03-09 13:20:48,Twitter for iPhone,0,0,,sara_alzamil23,sara
@noon خصم اضافي ABC93 💛💛,24,1237005086125101056,2020-03-09 13:19:29,Twitter Web App,0,0,Saudia Arabia,OfferzMall,Offers Mall
@noon انا طلبت طلبيه وابغى الغيها كيف الغيها؟!,46,1237004341447462912,2020-03-09 13:16:32,Twitter for iPhone,0,0,,atof7112,Auatef
@noon كيف اخلي طلبيتي في شحنة وحده؟,35,1237001900110893057,2020-03-09 13:06:50,Twitter for iPhone,0,0,💙🌿🎬📮🎻,Q_ii09,قّ
"@noon كوبون خصم نون هدية لكم😍❤
خصم حتى 50 ريال  

انسخ كوبون الخصم  : AZ404
اللصق كوبون الخصم: AZ404",100,1236997994626637825,2020-03-09 12:51:18,Twitter for iPhone,0,0,"الرياض, المملكة العربية السعودية",CouponsAZ404,كوبون خصم نون
@noon FWUT كود نون يخصم 10% لعميل جديد و 5% لعميل قديم,54,1236986363809009664,2020-03-09 12:05:05,Twitter for iPhone,0,0,المملكة العربية السعودية,aasc621,ah
"The Lights @NOON

3.21(Sat)
OPEN/17:00
CLOSE/23:00
ADV/¥2,500+1 D

■LIVE:
JAMBO LACQUER
MONCHI
ÄURA

■DJ:
TAICH
ING… https://t.co/rp3D3rlB2X",140,1236983678787399680,2020-03-09 11:54:25,Twitter for iPhone,1,0,大阪 大阪市 北区,noon_cafe,NOON+CAFE
"@monis557 @noon وعليكم السلام،
نفيدك بأن الجهة المختصة هي وزارة التجارة في حال كان المتجر مسجل في خدمة ""معروف"" أو ي… https://t.co/bbMmtTfS8p",140,1236982003268009985,2020-03-09 11:47:46,Twitter Web App,0,0,السعودية / الرياض,cpaksa,جمعية حماية المستهلك
@noon طلبت يوم الجمعه وسويت سداد للعمليه وانسحبت الفلوس واشيك على طلبياتي مالقاها القى الطلبيه بسله باقي!!!؟؟؟ كيف… https://t.co/XKYEEZRyug,139,1236978925957513217,2020-03-09 11:35:32,Twitter for iPhone,0,0,المدينة المنورة . ,ahmw14252563,WHA
@noon فيه وظايف,15,1236975301365837829,2020-03-09 11:21:08,Twitter for Android,0,0,,mohammedsale987,ابو عبدالرحمن
@noon اسوء شركة تطلب طلب يلغون الطلب,36,1236975261616406529,2020-03-09 11:20:58,Twitter for iPhone,0,0,,nq6vb,nq6v
@noon مع ان مجموع الطلبات كلها قيمتها 84,40,1236967798250897409,2020-03-09 10:51:19,Twitter for Android,0,0,تنومة _بني شهر,norah_sh07_,نورة العساف
@noon انا شريت من الموقع حامل للجوال بقيمة 18 ريال ولما جاني الطلب طلب مني المندوب ادفع 47 ،،ليه هالمبلغ ؟,106,1236967211761369088,2020-03-09 10:48:59,Twitter for Android,0,0,تنومة _بني شهر,norah_sh07_,نورة العساف
@eman98680345 @noon شكرا,24,1236961332521566209,2020-03-09 10:25:37,Twitter for iPhone,1,0,"Giza, Egypt",Sambekhasan1,سام🤟🏻
@noon الغاء طلب في نون NSAC30037599804,38,1236960978417393664,2020-03-09 10:24:13,Twitter for iPhone,0,0,,Nono42970253,Nono
@eman98680345 @noon المشكله في اللي تملي عينو,45,1236960822989139968,2020-03-09 10:23:36,Twitter for iPhone,1,0,"Giza, Egypt",Sambekhasan1,سام🤟🏻
@eman98680345 من علي نوونً@noon,31,1236960264098103296,2020-03-09 10:21:23,Twitter for iPhone,1,0,"Giza, Egypt",Sambekhasan1,سام🤟🏻
@fahad_alahmdi88 @noon  اجل المعقم ب ٥٥,39,1236956782527995909,2020-03-09 10:07:33,Twitter for iPhone,0,0,,3bttl,𝙴𝚋𝚝𝚑𝚊𝚕 𝙰𝚕𝚊𝚗𝚣𝚒
"للاسف تفاجأت من شركك @noon
طلبت طلبيه وبعد اسبوع ابلغوني بعدم توفرها بكل برود ورجعنا فلوسك في المحفظه ولاهمهم اش مر… https://t.co/hW5xVNYvkK",140,1236956533885415424,2020-03-09 10:06:33,Twitter for Android,0,0,جدة,SalehMahroos,Saleh Mahroos
@noon تم الغاء طلبيه من قبل منصة نون لزيادة سعر معقم اليدين طلبته وكان سعره خمسة عشر ريالا والغوا الطلب والان زادو… https://t.co/Gl1yPtgWUX,139,1236952929627779074,2020-03-09 09:52:14,Twitter for Android,0,0,,BN37855041,B.N
@noon صددق انكم افششل موقع طلبت مشد اول مره قبل اسبوع ووصلني كبير قلت يمكن انا غلطانه وماقريت المقاس طلبت ثاني مره… https://t.co/H40FZwrYJB,139,1236950980056559621,2020-03-09 09:44:29,Twitter for iPhone,0,0,المملكة العربية السعودية,rrrppp39,..
RT @virtue_radio: Time to open your ears real wide and rock out with the Dark Lord of Rock n Roll every Sunday @noon to 2 pm NBT @ https://…,140,1236948614074617857,2020-03-09 09:35:05,Twitter Web App,0,2,"Seattle, WA",AlleDragonfyre,Alleine Dragonfyre
@noon اتمنى تتواصلو معاي ضروري,30,1236939509717180416,2020-03-09 08:58:54,Twitter for iPhone,0,0,"الدمام, المملكة العربية السعودية",saad059922,سعد الغامدي
@X_lady7 @noon مو شي جديد عليهم #نون_النصب_والاحتيال,52,1236937602193862656,2020-03-09 08:51:20,Twitter for iPhone,0,0,المملكة العربية السعودية,jeweled_99,jeweled
@noon #نون_النصب_والاحتيال  ديور ماركة فرنسيه بس عند نون النصب والاحتيال ديور صناعة دبي 🤣,89,1236937413634789376,2020-03-09 08:50:35,Twitter for iPhone,0,0,المملكة العربية السعودية,jeweled_99,jeweled
@Um_Lujain03 @noon ماهي شي جديده عليهم هذا التعريف لهم #نون_النصب_والاحتيال,75,1236927100621402113,2020-03-09 08:09:36,Twitter for iPhone,0,0,المملكة العربية السعودية,jeweled_99,jeweled
@somita1992 @noon نصيحه لا تتطلبووو منهم اول شي نصب ثاني شي بالقطره يجيبو الطلب ثالث شي اهمال غير طبيعي #مقاطعة_نون,115,1236926805522681856,2020-03-09 08:08:26,Twitter for iPhone,0,0,المملكة العربية السعودية,jeweled_99,jeweled
@noon #ما_دريتا انكم اشر وباء #نون_النصب_والاحتيال  لابد من #مقاطعة_نون,71,1236926532230221829,2020-03-09 08:07:20,Twitter for iPhone,0,0,المملكة العربية السعودية,jeweled_99,jeweled
@noon #نون_النصب_والاحتيال يعني مو معقوله نصب واحتيال عيني عينك!انتم اشر من الوباء كورونا😏 اول طلب لي قمتو بالنصب ا… https://t.co/MIyXybmKTh,140,1236925298459004928,2020-03-09 08:02:26,Twitter for iPhone,0,0,المملكة العربية السعودية,jeweled_99,jeweled
@AboFahmy5 @noon انا لي شهر أطالب بفلوسي ماشفت ولا ريال,55,1236910435909218304,2020-03-09 07:03:23,Twitter for iPhone,0,0,,nada77773262,nada
"@noon السلام عليكم
ارجو الغاء الطلبيه.. ارسلتها على الواتساب ولم يتم الرد عليّ
NSAC30009134229-S2",97,1236906794712281088,2020-03-09 06:48:55,Twitter for Android,0,0,الرياض,Neutral__11,محايد ●○🇸🇦
"RT @noon: للجمعات الرهيبة تحتاج سماعة وشاحن 🔋📻
 وشلون لو سماعة وشاحن متنقل بنفس الوقت، شيّك على سماعات نون إيست 💛

نوّنها على: https://t.co…",140,1236902101755678721,2020-03-09 06:30:16,Twitter Web App,0,11,,BrandiBergero19,Brandi Bergeron
@Euiil_0 @noon هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه… https://t.co/QxtcOUJ5Po,140,1236896228845203456,2020-03-09 06:06:56,Twitter for iPhone,0,0,MBS❤️.,muawc,وتّين الماجِد🇸🇦
@muawc @noon يمممه شفيه! https://t.co/frr3a42XD2,48,1236895836480700416,2020-03-09 06:05:22,Twitter for iPhone,0,0,في الثلاجة,Euiil_0,NDA..✰
@Euiil_0 @noon  صفقوها,22,1236892660226494464,2020-03-09 05:52:45,Twitter for iPhone,0,0,MBS❤️.,muawc,وتّين الماجِد🇸🇦
"RT @noon: للجمعات الرهيبة تحتاج سماعة وشاحن 🔋📻
 وشلون لو سماعة وشاحن متنقل بنفس الوقت، شيّك على سماعات نون إيست 💛

نوّنها على: https://t.co…",140,1236889772854890498,2020-03-09 05:41:16,Twitter Web App,0,11,,Stephan60939403,Stephanie Carlson
@noon لا احد يتعامل معهم ليس لديهم مصداقيه نصيحه وتم إعطائي شئ غير الي انا طلبته ولم يستبدلوه ولم يعيدوا ليه ما دفع… https://t.co/DiEpdiR3fT,140,1236880019210846208,2020-03-09 05:02:31,Twitter for iPhone,0,0,,Omar13250280,Omar
@noon اشتريت من عندكم جهاز و طلع خربان و الكرتون مفتوح ابغا ارجعه و اخذ فلوسي,77,1236877350534623232,2020-03-09 04:51:55,Twitter for iPhone,0,0,,am_x57,ً
"RT @_sharbakh: @f_daar @noon_cares @noon تضامناً معك يافهد تم حذف التطبيق ولن يتم التعامل معهم نهائياً

#قصتي_مع_نون 
#تضامنا_مع_فهد_العقاب…",140,1236850295432450049,2020-03-09 03:04:24,Twitter for iPhone,0,20,,R7NAD,رِيناد
@noon والله ايش من خساسة التعامل معكم كذب وتصريف يا القسم المختص,64,1236850073625133058,2020-03-09 03:03:31,Twitter for iPhone,0,0,عسير,mosferali,ابن حمّاد
"@noon السلام عليكم الرجاء الغاء الطلبيه هاذي 
NSAC20081127161
الحسين اليامي
السبب : تغيير رأيي",94,1236849827000049664,2020-03-09 03:02:32,Twitter for iPhone,0,0,"المنيا, مصر",fc5b4IEykn1j5J3,صالح
@FtomAli @DRINKlWATER @f_daar @noon_cares @noon زيي ..ولا اذا خصم يخصم ريال ولا ريال ونص,88,1236849808306065414,2020-03-09 03:02:28,Twitter for iPhone,0,0,,R7NAD,رِيناد
@abu_azo @f_daar @noon_cares @noon ياربي قد ايش مستفزه ردودهم ولا كنه صاير شي 😒,79,1236849368986193922,2020-03-09 03:00:43,Twitter for iPhone,0,0,,R7NAD,رِيناد
@ihateyouallkkk طيب نون الاستغلالييين كيف ابلغ عليهم  @noon,59,1236834929528508417,2020-03-09 02:03:21,Twitter for iPhone,3,0,,4Il_r,اص
"@noon 
السلام عليكم 
كيف الحال ياخواني
اشتريت من متجركم جوال ايفون ٦ وتقفل عندي الاكبود وكلمت شركة ابل لفتح الاكلود… https://t.co/6pu0BBq05W",140,1236796141448159234,2020-03-08 23:29:13,Twitter for Android,0,0,,anfasturki,تركي الخليفه
