tweets,len,ID,Date,Source,Likes,RTs,location,UserName,Name,clean tweets,clean tweet length
@noon حلو,9,1237056817714401280,2020-03-09 16:45:03,Twitter for Android,0,0,Saudi Arabia,almrkazameen991,Ameen althrhain, حلو,4
"RT @noon: بالبسمة 🎶

توصلك 💛

البهجة 😁

#طلباتك_أوامر 
#هلا_نون https://t.co/H49FTSoVJj",87,1237056779881713665,2020-03-09 16:44:54,Twitter for Android,0,39,Saudi Arabia,almrkazameen991,Ameen althrhain,RT بالبسمه 🎶  توصلك 💛  البهجه 😁  طلباتكاوامر  هلانون ,53
See Whats Happening Around Town &amp; Worldwide @Noon W/ @SylviaFOX32 &amp; @KaitlinCody With All The Lastest On Your #1 Ne… https://t.co/i22G7k6xtq,148,1237055940840640512,2020-03-09 16:41:34,Twitter for iPhone,0,0,USA,DeeMillChi,DeeMill,Se Whats Hapening Around Town amp Worldwide W amp With Al The Lastest On Your 1 Ne ,83
"@noon إستخدم كود خصم 🔥 CD323 🔥 

💰 - خصم يصل الى 10٪ 
✅ - يشمل كافة المنتجات

للطلب 👇🏻
https://t.co/SR65Q4oMe9",110,1237055053837582338,2020-03-09 16:38:02,Twitter for iPhone,0,0,None,jobssa24,عروض وتخفيضات, استخدم كود خصم 🔥 CD323 🔥   💰 خصم يصل الي 10٪  ✅ يشمل كافه المنتجات  لطلب 👇🏻  ,78
@noon هل تضمنون عطوركم انها اصليه؟,34,1237053302229123075,2020-03-09 16:31:05,Twitter for iPhone,0,0,None,najdalmu,none, هل تضمنون عطوركم انها اصليه,28
@noon عندي رصيد في محفظة نون ابي ارجعها لبطاقتي كيف ؟,53,1237052791610388483,2020-03-09 16:29:03,Twitter for Android,0,0,Saudi Arabia,iika_desi,"كاديس 🖐🔥""", عندي رصيد في محفظه نون ابي ارجعها لبطاقتي كيف ,47
@alwayscravepiza @noon حسابك خاص طيب😭,37,1237042545118441472,2020-03-09 15:48:20,Twitter for iPhone,0,0,Other,bblvck03,𝐌𝐫𝐬. 𝐁𝐥𝐚𝐜𝐤, حسابك خاص طيب😭,15
@noon كود خصم نون HAOL,22,1237041055851319296,2020-03-09 15:42:25,Twitter for iPhone,0,0,None,Gg29206704,Gg, كود خصم نون HAOL,17
@noon ممكن تشوفو الخاص,22,1237039349776240641,2020-03-09 15:35:38,Twitter for iPhone,1,0,Saudi Arabia,fofa_bnt_habib,afifah, مكن تشوفو الخاص,16
"تخيلوا لو يصير مستر كاندي ع الملابس او الاكواب والادوات 😍😍✨👏🏼 وش رايكم🤔؟
لازم نجرب💪🏼
#mrcandystory @NAMSHI_KSA… https://t.co/dxDj0Rjh66",135,1237037320240594946,2020-03-09 15:27:34,Twitter for Android,0,0,None,candystoryart,Designer.,تخيلوا لو يصير مستر كاندي ع الملابس او الاكواب والادوات 😍✨👏🏼 وش رايكم🤔 لازم نجرب💪🏼 mrcandystory ,96
@noon كيف افعل بطاقة هديه الراجحي,33,1237033937995730950,2020-03-09 15:14:08,Twitter for Android,0,0,None,k4e2w6SSnyKYdb6,الوافي, كيف افعل بطاقه هديه الراجحي,28
@atof7112 @noon كوبون خصم نون 😍NO57,35,1237026811713859585,2020-03-09 14:45:49,Twitter for iPhone,0,0,None,Dode69385247,Dode_ads, كوبون خصم نون 😍NO57,20
@noon @SaudiMCI  شوف الاستغلال يا وزارة التجاره,47,1237022420453728256,2020-03-09 14:28:22,Twitter for iPhone,0,0,None,fuadzamareeh,Fuad, شوف الاستغلال يا وزاره التجاره,31
@noon https://t.co/frPlvVM5tE,29,1237022055683555329,2020-03-09 14:26:55,Twitter for iPhone,0,0,None,fuadzamareeh,Fuad, ,1
"RT @noon: يا حابس النور بكفوفك🎶
أنوار ولمبات بخصم 10-75% من أحلى الأنواع والأشكال 💡💛

نوّنها على: https://t.co/oLMXnLaDWO

#هلا_نون https:/…",140,1237022002411638785,2020-03-09 14:26:42,Twitter Web,0,1,None,gnan1998,آبوفهدالدهاسي,RT يا حابس النور بكفوفك🎶 انوار ولمبات بخصم 1075 من احلي الانواع والاشكال 💡💛  نوّنها علي   هلانون htps,101
@noon كوبون خصم ZLUH 💛,22,1237005549692166146,2020-03-09 13:21:20,Twitter Web,0,0,None,OnlineDealsEg,Online Deals, كوبون خصم ZLUH 💛,17
@noon الرجاء الرد على الخاص,27,1237005418976751617,2020-03-09 13:20:48,Twitter for iPhone,0,0,None,sara_alzamil23,sara, الرجاء الرد علي الخاص,22
@noon خصم اضافي ABC93 💛💛,24,1237005086125101056,2020-03-09 13:19:29,Twitter Web,0,0,Saudi Arabia,OfferzMall,Offers Mall, خصم اضافي ABC93 💛,18
@noon انا طلبت طلبيه وابغى الغيها كيف الغيها؟!,46,1237004341447462912,2020-03-09 13:16:32,Twitter for iPhone,0,0,None,atof7112,Auatef, انا طلبت طلبيه وابغي الغيها كيف الغيها,39
@noon كيف اخلي طلبيتي في شحنة وحده؟,35,1237001900110893057,2020-03-09 13:06:50,Twitter for iPhone,0,0,Other,Q_ii09,قّ, كيف اخلي طلبيتي في شحنه وحده,29
"@noon كوبون خصم نون هدية لكم😍❤
خصم حتى 50 ريال  

انسخ كوبون الخصم  : AZ404
اللصق كوبون الخصم: AZ404",100,1236997994626637825,2020-03-09 12:51:18,Twitter for iPhone,0,0,Saudi Arabia,CouponsAZ404,كوبون خصم نون, كوبون خصم نون هديه لكم😍❤ خصم حتي 50 ريال   انسخ كوبون الخصم AZ404 الصق كوبون الخصم AZ404,89
@noon FWUT كود نون يخصم 10% لعميل جديد و 5% لعميل قديم,54,1236986363809009664,2020-03-09 12:05:05,Twitter for iPhone,0,0,Saudi Arabia,aasc621,ah, FWUT كود نون يخصم 10 لعميل جديد و 5 لعميل قديم,47
"The Lights @NOON

3.21(Sat)
OPEN/17:00
CLOSE/23:00
ADV/¥2,500+1 D

■LIVE:
JAMBO LACQUER
MONCHI
ÄURA

■DJ:
TAICH
ING… https://t.co/rp3D3rlB2X",140,1236983678787399680,2020-03-09 11:54:25,Twitter for iPhone,1,0,Japan,noon_cafe,NOON+CAFE,The Lights   321Sat OPEN170 CLOSE230 ADV¥2501 D  ■LIVE JAMBO LACQUER MONCHI ÄURA  ■DJ TAICH ING ,96
"@monis557 @noon وعليكم السلام،
نفيدك بأن الجهة المختصة هي وزارة التجارة في حال كان المتجر مسجل في خدمة ""معروف"" أو ي… https://t.co/bbMmtTfS8p",140,1236982003268009985,2020-03-09 11:47:46,Twitter Web,0,0,Saudi Arabia,cpaksa,جمعية حماية المستهلك, وعليكم السلام نفيدك بان الجه المختصه هي وزاره التجاره في حال كان المتجر مسجل في خدمه معروف او ي ,97
